contract,rows,acc,avg_p_up,avg_confidence,avg_xai_quality,avg_fwd_ret
SiZ5,1449,0.5638371290545203,0.4424603338629069,0.623657199135725,0.4431479702164198,-0.0008782119911969477
SiU5,197,0.467005076142132,0.4541294349329121,0.6018597427661043,0.43822653573205117,0.0010124540458150938
